LAI_value,BBCH,date
3.11,35.666666666666664,2015-04-21 00:00:00+02:00
,35.5,2015-05-15 00:00:00+02:00
,59.0,2015-06-08 00:00:00+02:00
,65.66666666666667,2015-07-02 00:00:00+02:00
